edge_id,source_node,target_node,relationship_type,strength
E0001,A012,M029,SUPPLIES_TO,72
E0002,ADV009,M004,SUPPLIES_TO,92
E0003,ADV012,M048,ADVISES,51
E0004,ADV020,M029,SUPPLIES_TO,58
E0005,A004,M025,SUPPLIES_TO,88
E0006,A011,M024,PAYS,54
E0007,A003,M026,TRADES_WITH,91
E0008,M018,M048,ADVISES,81
E0009,M034,M017,TRADES_WITH,95
E0010,A004,M045,PAYS,62
E0011,A003,M012,PAYS,55
E0012,ADV011,M023,SUPPLIES_TO,85
E0013,M035,M046,ADVISES,73
E0014,M033,M009,ADVISES,81
E0015,ADV018,M024,PAYS,85
E0016,M009,M020,PAYS,95
E0017,A008,M050,PAYS,86
E0018,ADV011,M005,PAYS,79
E0019,M044,M050,ADVISES,58
E0020,M028,M034,ADVISES,69
E0021,ADV011,M015,TRADES_WITH,83
E0022,A014,M013,TRADES_WITH,58
E0023,ADV020,M006,ADVISES,87
E0024,ADV006,M040,TRADES_WITH,86
E0025,M003,M003,TRADES_WITH,91
E0026,A013,M040,SUPPLIES_TO,81
E0027,ADV010,M020,PAYS,65
E0028,A007,M005,SUPPLIES_TO,60
E0029,A007,M014,TRADES_WITH,88
E0030,ADV011,M023,PAYS,58
E0031,ADV017,M007,TRADES_WITH,65
E0032,A002,M016,ADVISES,56
E0033,ADV013,M027,ADVISES,60
E0034,ADV019,M021,ADVISES,60
E0035,A009,M020,PAYS,51
E0036,A007,M016,ADVISES,87
E0037,A001,M032,PAYS,68
E0038,A001,M009,TRADES_WITH,73
E0039,M049,M026,SUPPLIES_TO,86
E0040,ADV012,M019,SUPPLIES_TO,74
E0041,A008,M040,SUPPLIES_TO,58
E0042,A007,M036,TRADES_WITH,59
E0043,A010,M033,SUPPLIES_TO,52
E0044,A003,M034,PAYS,59
E0045,M039,M021,TRADES_WITH,60
E0046,ADV010,M022,PAYS,95
E0047,M037,M024,TRADES_WITH,93
E0048,A007,M047,SUPPLIES_TO,88
E0049,ADV019,M015,SUPPLIES_TO,87
E0050,ADV017,M047,PAYS,59
E0051,ADV002,M045,SUPPLIES_TO,62
E0052,A008,M010,PAYS,94
E0053,ADV017,M031,SUPPLIES_TO,95
E0054,ADV007,M021,PAYS,83
E0055,A006,M035,TRADES_WITH,84
E0056,ADV009,M031,ADVISES,65
E0057,M018,M020,TRADES_WITH,95
E0058,A012,M031,TRADES_WITH,85
E0059,M047,M037,PAYS,75
E0060,A013,M003,TRADES_WITH,95
E0061,ADV015,M017,PAYS,63
E0062,A014,M036,TRADES_WITH,58
E0063,M007,M016,SUPPLIES_TO,92
E0064,M034,M007,PAYS,71
E0065,ADV004,M050,ADVISES,50
E0066,A015,M042,PAYS,80
E0067,A004,M019,SUPPLIES_TO,55
E0068,ADV008,M048,SUPPLIES_TO,61
E0069,M027,M026,PAYS,61
E0070,M048,M001,TRADES_WITH,86
E0071,A002,M030,PAYS,58
E0072,M033,M008,TRADES_WITH,60
E0073,ADV009,M012,SUPPLIES_TO,71
E0074,M019,M040,PAYS,77
E0075,A006,M043,SUPPLIES_TO,61
E0076,M009,M001,TRADES_WITH,74
E0077,A008,M020,SUPPLIES_TO,66
E0078,M042,M043,SUPPLIES_TO,79
E0079,ADV013,M033,TRADES_WITH,94
E0080,A011,M040,ADVISES,64
E0081,A008,M048,TRADES_WITH,76
E0082,ADV016,M043,ADVISES,65
E0083,M044,M034,PAYS,83
E0084,ADV003,M008,SUPPLIES_TO,85
E0085,ADV019,M010,ADVISES,70
E0086,ADV004,M014,PAYS,55
E0087,A008,M009,PAYS,79
E0088,A001,M044,TRADES_WITH,51
E0089,ADV001,M014,SUPPLIES_TO,52
E0090,ADV003,M004,SUPPLIES_TO,80
E0091,M003,M050,ADVISES,91
E0092,A011,M025,PAYS,74
E0093,M025,M042,TRADES_WITH,57
E0094,ADV013,M009,ADVISES,50
E0095,A001,M044,PAYS,84
E0096,M025,M030,TRADES_WITH,59
E0097,M018,M043,PAYS,89
E0098,M050,M014,SUPPLIES_TO,56
E0099,ADV015,M044,SUPPLIES_TO,65
E0100,A001,M015,ADVISES,53
