evaluation_id,opportunity_id,route,score,selected
RE0001,OP001,Transaction,70,Yes
RE0002,OP001,Advisor,61,No
RE0003,OP001,Anchor,53,No
RE0004,OP001,Direct,21,No
RE0005,OP002,Transaction,81,Yes
RE0006,OP002,Advisor,64,No
RE0007,OP002,Anchor,69,No
RE0008,OP002,Direct,33,No
RE0009,OP003,Transaction,63,No
RE0010,OP003,Advisor,86,Yes
RE0011,OP003,Anchor,68,No
RE0012,OP003,Direct,57,No
RE0013,OP004,Transaction,51,No
RE0014,OP004,Advisor,58,Yes
RE0015,OP004,Anchor,25,No
RE0016,OP004,Direct,43,No
RE0017,OP005,Transaction,68,Yes
RE0018,OP005,Advisor,59,No
RE0019,OP005,Anchor,53,No
RE0020,OP005,Direct,38,No
RE0021,OP006,Transaction,93,Yes
RE0022,OP006,Advisor,47,No
RE0023,OP006,Anchor,27,No
RE0024,OP006,Direct,29,No
RE0025,OP007,Transaction,88,Yes
RE0026,OP007,Advisor,74,No
RE0027,OP007,Anchor,32,No
RE0028,OP007,Direct,20,No
RE0029,OP008,Transaction,82,Yes
RE0030,OP008,Advisor,52,No
RE0031,OP008,Anchor,72,No
RE0032,OP008,Direct,39,No
RE0033,OP009,Transaction,75,No
RE0034,OP009,Advisor,33,No
RE0035,OP009,Anchor,69,No
RE0036,OP009,Direct,76,Yes
RE0037,OP010,Transaction,66,No
RE0038,OP010,Advisor,64,No
RE0039,OP010,Anchor,80,Yes
RE0040,OP010,Direct,40,No
RE0041,OP011,Transaction,70,Yes
RE0042,OP011,Advisor,49,No
RE0043,OP011,Anchor,30,No
RE0044,OP011,Direct,60,No
RE0045,OP012,Transaction,94,Yes
RE0046,OP012,Advisor,75,No
RE0047,OP012,Anchor,24,No
RE0048,OP012,Direct,74,No
RE0049,OP013,Transaction,76,No
RE0050,OP013,Advisor,87,Yes
RE0051,OP013,Anchor,38,No
RE0052,OP013,Direct,25,No
RE0053,OP014,Transaction,88,Yes
RE0054,OP014,Advisor,58,No
RE0055,OP014,Anchor,42,No
RE0056,OP014,Direct,31,No
RE0057,OP015,Transaction,53,No
RE0058,OP015,Advisor,81,Yes
RE0059,OP015,Anchor,44,No
RE0060,OP015,Direct,26,No
RE0061,OP016,Transaction,42,No
RE0062,OP016,Advisor,57,No
RE0063,OP016,Anchor,30,No
RE0064,OP016,Direct,65,Yes
RE0065,OP017,Transaction,52,No
RE0066,OP017,Advisor,82,Yes
RE0067,OP017,Anchor,38,No
RE0068,OP017,Direct,43,No
RE0069,OP018,Transaction,60,No
RE0070,OP018,Advisor,88,Yes
RE0071,OP018,Anchor,28,No
RE0072,OP018,Direct,21,No
RE0073,OP019,Transaction,64,No
RE0074,OP019,Advisor,65,No
RE0075,OP019,Anchor,70,No
RE0076,OP019,Direct,80,Yes
RE0077,OP020,Transaction,60,No
RE0078,OP020,Advisor,84,Yes
RE0079,OP020,Anchor,55,No
RE0080,OP020,Direct,76,No
RE0081,OP021,Transaction,69,No
RE0082,OP021,Advisor,88,Yes
RE0083,OP021,Anchor,21,No
RE0084,OP021,Direct,76,No
RE0085,OP022,Transaction,90,Yes
RE0086,OP022,Advisor,56,No
RE0087,OP022,Anchor,34,No
RE0088,OP022,Direct,63,No
RE0089,OP023,Transaction,49,Yes
RE0090,OP023,Advisor,39,No
RE0091,OP023,Anchor,32,No
RE0092,OP023,Direct,23,No
RE0093,OP024,Transaction,76,No
RE0094,OP024,Advisor,79,Yes
RE0095,OP024,Anchor,32,No
RE0096,OP024,Direct,46,No
RE0097,OP025,Transaction,95,Yes
RE0098,OP025,Advisor,64,No
RE0099,OP025,Anchor,64,No
RE0100,OP025,Direct,62,No
RE0101,OP026,Transaction,56,No
RE0102,OP026,Advisor,54,No
RE0103,OP026,Anchor,82,Yes
RE0104,OP026,Direct,70,No
RE0105,OP027,Transaction,42,No
RE0106,OP027,Advisor,41,No
RE0107,OP027,Anchor,55,No
RE0108,OP027,Direct,61,Yes
RE0109,OP028,Transaction,49,No
RE0110,OP028,Advisor,69,No
RE0111,OP028,Anchor,71,Yes
RE0112,OP028,Direct,14,No
RE0113,OP029,Transaction,65,No
RE0114,OP029,Advisor,86,Yes
RE0115,OP029,Anchor,62,No
RE0116,OP029,Direct,40,No
RE0117,OP030,Transaction,43,No
RE0118,OP030,Advisor,77,No
RE0119,OP030,Anchor,80,Yes
RE0120,OP030,Direct,44,No
RE0121,OP031,Transaction,63,Yes
RE0122,OP031,Advisor,31,No
RE0123,OP031,Anchor,63,No
RE0124,OP031,Direct,48,No
RE0125,OP032,Transaction,59,No
RE0126,OP032,Advisor,47,No
RE0127,OP032,Anchor,82,Yes
RE0128,OP032,Direct,22,No
RE0129,OP033,Transaction,95,Yes
RE0130,OP033,Advisor,44,No
RE0131,OP033,Anchor,37,No
RE0132,OP033,Direct,48,No
RE0133,OP034,Transaction,87,Yes
RE0134,OP034,Advisor,58,No
RE0135,OP034,Anchor,61,No
RE0136,OP034,Direct,44,No
RE0137,OP035,Transaction,86,Yes
RE0138,OP035,Advisor,56,No
RE0139,OP035,Anchor,31,No
RE0140,OP035,Direct,34,No
RE0141,OP036,Transaction,68,No
RE0142,OP036,Advisor,43,No
RE0143,OP036,Anchor,72,Yes
RE0144,OP036,Direct,72,No
RE0145,OP037,Transaction,88,Yes
RE0146,OP037,Advisor,63,No
RE0147,OP037,Anchor,67,No
RE0148,OP037,Direct,17,No
RE0149,OP038,Transaction,72,No
RE0150,OP038,Advisor,80,Yes
RE0151,OP038,Anchor,40,No
RE0152,OP038,Direct,18,No
RE0153,OP039,Transaction,59,No
RE0154,OP039,Advisor,75,No
RE0155,OP039,Anchor,84,Yes
RE0156,OP039,Direct,61,No
RE0157,OP040,Transaction,48,No
RE0158,OP040,Advisor,79,Yes
RE0159,OP040,Anchor,23,No
RE0160,OP040,Direct,32,No
RE0161,OP041,Transaction,52,No
RE0162,OP041,Advisor,86,Yes
RE0163,OP041,Anchor,45,No
RE0164,OP041,Direct,17,No
RE0165,OP042,Transaction,55,No
RE0166,OP042,Advisor,32,No
RE0167,OP042,Anchor,78,Yes
RE0168,OP042,Direct,16,No
RE0169,OP043,Transaction,63,No
RE0170,OP043,Advisor,75,Yes
RE0171,OP043,Anchor,45,No
RE0172,OP043,Direct,45,No
RE0173,OP044,Transaction,63,No
RE0174,OP044,Advisor,82,Yes
RE0175,OP044,Anchor,79,No
RE0176,OP044,Direct,74,No
RE0177,OP045,Transaction,65,No
RE0178,OP045,Advisor,70,Yes
RE0179,OP045,Anchor,35,No
RE0180,OP045,Direct,13,No
RE0181,OP046,Transaction,55,No
RE0182,OP046,Advisor,53,No
RE0183,OP046,Anchor,82,Yes
RE0184,OP046,Direct,67,No
RE0185,OP047,Transaction,51,No
RE0186,OP047,Advisor,85,Yes
RE0187,OP047,Anchor,80,No
RE0188,OP047,Direct,80,No
RE0189,OP048,Transaction,62,Yes
RE0190,OP048,Advisor,52,No
RE0191,OP048,Anchor,40,No
RE0192,OP048,Direct,43,No
RE0193,OP049,Transaction,87,Yes
RE0194,OP049,Advisor,83,No
RE0195,OP049,Anchor,31,No
RE0196,OP049,Direct,46,No
RE0197,OP050,Transaction,41,No
RE0198,OP050,Advisor,54,Yes
RE0199,OP050,Anchor,26,No
RE0200,OP050,Direct,30,No
